BusinessEntityID,FirstName,MiddleName,LastName,JobTitle,EmailAddress
139,Hung-Fu,T,Ting,Production Technician - WC20,hung-fu0@adventure-works.com
140,Prasanna,E,Samarawickrama,Production Technician - WC20,prasanna0@adventure-works.com
141,Min,G,Su,Production Technician - WC20,min0@adventure-works.com
142,Olinda,C,Turner,Production Technician - WC20,olinda0@adventure-works.com
143,Krishna,NULL,Sunkammurali,Production Technician - WC20,krishna0@adventure-works.com
144,Paul,R,Singh,Production Technician - WC20,paul1@adventure-works.com
145,Cynthia,S,Randall,Production Supervisor - WC30,cynthia0@adventure-works.com
146,Jian Shuo,NULL,Wang,Production Technician - WC30,jianshuo0@adventure-works.com
147,Sandra,NULL,Reátegui Alayo,Production Technician - WC30,sandra0@adventure-works.com
148,Jason,M,Watters,Production Technician - WC30,jason0@adventure-works.com
149,Andy,M,Ruth,Production Technician - WC30,andy0@adventure-works.com
150,Michael,T,Vanderhyde,Production Technician - WC30,michael5@adventure-works.com
151,Rostislav,E,Shabalin,Production Technician - WC30,rostislav0@adventure-works.com
152,Yuhong,L,Li,Production Supervisor - WC20,yuhong0@adventure-works.com
153,Hanying,P,Feng,Production Technician - WC20,hanying0@adventure-works.com
154,Raymond,K,Sam,Production Technician - WC20,raymond0@adventure-works.com
155,Fadi,K,Fakhouri,Production Technician - WC20,fadi0@adventure-works.com
156,Lane,M,Sacksteder,Production Technician - WC20,lane0@adventure-works.com
157,Linda,A,Randall,Production Technician - WC20,linda1@adventure-works.com
158,Shelley,N,Dyck,Production Technician - WC20,shelley0@adventure-works.com
159,Terrence,W,Earls,Production Technician - WC20,terrence0@adventure-works.com
160,Jeff,V,Hay,Production Supervisor - WC45,jeff0@adventure-works.com
161,Kirk,J,Koenigsbauer,Production Technician - WC45,kirk0@adventure-works.com
162,Laura,C,Steele,Production Technician - WC45,laura0@adventure-works.com
163,Alex,M,Nayberg,Production Technician - WC45,alex0@adventure-works.com
164,Andrew,M,Cencini,Production Technician - WC45,andrew1@adventure-works.com
165,Chris,T,Preston,Production Technician - WC45,chris0@adventure-works.com
166,Jack,S,Richins,Production Supervisor - WC30,jack0@adventure-works.com
167,David,N,Johnson,Production Technician - WC30,david1@adventure-works.com
168,Garrett,R,Young,Production Technician - WC30,garrett0@adventure-works.com
169,Susan,A,Metters,Production Technician - WC30,susan1@adventure-works.com
170,George,Z,Li,Production Technician - WC30,george0@adventure-works.com
171,David,A,Yalovsky,Production Technician - WC30,david3@adventure-works.com
172,Marc,J,Ingle,Production Technician - WC30,marc0@adventure-works.com
173,Eugene,R,Zabokritski,Production Technician - WC30,eugene0@adventure-works.com
174,Benjamin,R,Martin,Production Technician - WC30,benjamin0@adventure-works.com
175,Reed,T,Koch,Production Technician - WC30,reed0@adventure-works.com
176,David,Oliver,Lawrence,Production Technician - WC30,david7@adventure-works.com
177,Russell,M,King,Production Technician - WC30,russell1@adventure-works.com
178,John,N,Frum,Production Technician - WC30,john3@adventure-works.com
179,Jan,S,Miksovsky,Production Technician - WC30,jan0@adventure-works.com
180,Katie,L,McAskill-White,Production Supervisor - WC20,katie0@adventure-works.com
181,Michael,T,Hines,Production Technician - WC20,michael0@adventure-works.com
182,Nitin,S,Mirchandani,Production Technician - WC20,nitin0@adventure-works.com
183,Barbara,S,Decker,Production Technician - WC20,barbara0@adventure-works.com
184,John,Y,Chen,Production Technician - WC20,john2@adventure-works.com
185,Stefen,A,Hesse,Production Technician - WC20,stefen0@adventure-works.com
186,Shane,S,Kim,Production Supervisor - WC45,shane0@adventure-works.com
187,Yvonne,S,McKay,Production Technician - WC45,yvonne0@adventure-works.com
188,Douglas,B,Hite,Production Technician - WC45,douglas0@adventure-works.com
189,Janeth,M,Esteves,Production Technician - WC45,janeth0@adventure-works.com
190,Robert,J,Rounthwaite,Production Technician - WC45,robert0@adventure-works.com
191,Lionel,C,Penuchot,Production Technician - WC45,lionel0@adventure-works.com
192,Brenda,M,Diaz,Production Supervisor - WC40,brenda0@adventure-works.com
193,Alejandro,E,McGuel,Production Technician - WC40,alejandro0@adventure-works.com
194,Fred,T,Northup,Production Technician - WC40,fred0@adventure-works.com
195,Kevin,H,Liu,Production Technician - WC40,kevin1@adventure-works.com
196,Shammi,G,Mohamed,Production Technician - WC40,shammi0@adventure-works.com
197,Rajesh,M,Patel,Production Technician - WC40,rajesh0@adventure-works.com
198,Lorraine,O,Nay,Production Technician - WC40,lorraine0@adventure-works.com
199,Paula,R,Nartker,Production Technician - WC40,paula1@adventure-works.com
200,Frank,T,Lee,Production Technician - WC40,frank0@adventure-works.com
201,Brian,T,Lloyd,Production Technician - WC40,brian0@adventure-works.com
202,Tawana,G,Nusbaum,Production Technician - WC40,tawana0@adventure-works.com
203,Ken,L,Myer,Production Technician - WC40,ken1@adventure-works.com
204,Gabe,B,Mares,Production Technician - WC40,gabe0@adventure-works.com
205,Lori,A,Kane,Production Supervisor - WC45,lori0@adventure-works.com
206,Stuart,V,Munson,Production Technician - WC45,stuart0@adventure-works.com
207,Greg,F,Alderson,Production Technician - WC45,greg0@adventure-works.com
208,Scott,R,Gode,Production Technician - WC45,scott0@adventure-works.com
209,Kathie,E,Flood,Production Technician - WC45,kathie0@adventure-works.com
210,Belinda,M,Newman,Production Technician - WC45,belinda0@adventure-works.com
211,Hazem,E,Abolrous,Quality Assurance Manager,hazem0@adventure-works.com
212,Peng,J,Wu,Quality Assurance Supervisor,peng0@adventure-works.com
213,Sootha,T,Charncherngkha,Quality Assurance Technician,sootha0@adventure-works.com
214,Andreas,T,Berglund,Quality Assurance Technician,andreas0@adventure-works.com
215,Mark,L,Harrington,Quality Assurance Technician,mark0@adventure-works.com
216,Sean,P,Alexander,Quality Assurance Technician,sean0@adventure-works.com
217,Zainal,T,Arifin,Document Control Manager,zainal0@adventure-works.com
218,Tengiz,N,Kharatishvili,Control Specialist,tengiz0@adventure-works.com
219,Sean,N,Chai,Document Control Assistant,sean1@adventure-works.com
220,Karen,R,Berge,Document Control Assistant,karen0@adventure-works.com
221,Chris,K,Norred,Control Specialist,chris1@adventure-works.com
222,A. Scott,NULL,Wright,Master Scheduler,ascott0@adventure-works.com
223,Sairaj,L,Uddin,Scheduling Assistant,sairaj0@adventure-works.com
224,William,S,Vong,Scheduling Assistant,william0@adventure-works.com
225,Alan,J,Brewer,Scheduling Assistant,alan0@adventure-works.com
226,Brian,P,LaMee,Scheduling Assistant,brian1@adventure-works.com
227,Gary,E.,Altman,Facilities Manager,gary1@adventure-works.com
228,Christian,E,Kleinerman,Maintenance Supervisor,christian0@adventure-works.com
229,Lori,K,Penor,Janitor,lori1@adventure-works.com
230,Stuart,J,Macrae,Janitor,stuart1@adventure-works.com
231,Jo,L,Berry,Janitor,jo1@adventure-works.com
232,Pat,H,Coleman,Janitor,pat0@adventure-works.com
233,Magnus,E,Hedlund,Facilities Administrative Assistant,magnus0@adventure-works.com
234,Laura,F,Norman,Chief Financial Officer,laura1@adventure-works.com
235,Paula,M,Barreto de Mattos,Human Resources Manager,paula0@adventure-works.com
236,Grant,N,Culbertson,Human Resources Administrative Assistant,grant0@adventure-works.com
237,Hao,O,Chen,Human Resources Administrative Assistant,hao0@adventure-works.com
238,Vidur,X,Luthra,Recruiter,vidur0@adventure-works.com
239,Mindy,C,Martin,Benefits Specialist,mindy0@adventure-works.com
240,Willis,T,Johnson,Recruiter,willis0@adventure-works.com
241,David,J,Liu,Accounts Manager,david6@adventure-works.com
242,Deborah,E,Poe,Accounts Receivable Specialist,deborah0@adventure-works.com
243,Candy,L,Spoon,Accounts Receivable Specialist,candy0@adventure-works.com
244,Bryan,A,Walton,Accounts Receivable Specialist,bryan1@adventure-works.com
245,Barbara,C,Moreland,Accountant,barbara1@adventure-works.com
246,Dragan,K,Tomic,Accounts Payable Specialist,dragan0@adventure-works.com
247,Janet,L,Sheperdigian,Accounts Payable Specialist,janet0@adventure-works.com
248,Mike,K,Seamans,Accountant,mike0@adventure-works.com
249,Wendy,Beth,Kahn,Finance Manager,wendy0@adventure-works.com
250,Sheela,H,Word,Purchasing Manager,sheela0@adventure-works.com
251,Mikael,Q,Sandberg,Buyer,mikael0@adventure-works.com
252,Arvind,B,Rao,Buyer,arvind0@adventure-works.com
253,Linda,P,Meisner,Buyer,linda2@adventure-works.com
254,Fukiko,J,Ogisu,Buyer,fukiko0@adventure-works.com
255,Gordon,L,Hee,Buyer,gordon0@adventure-works.com
256,Frank,S,Pellow,Buyer,frank2@adventure-works.com
257,Eric,S,Kurjan,Buyer,eric2@adventure-works.com
258,Erin,M,Hagens,Buyer,erin0@adventure-works.com
259,Ben,T,Miller,Buyer,ben0@adventure-works.com
260,Annette,L,Hill,Purchasing Assistant,annette0@adventure-works.com
261,Reinout,N,Hillmann,Purchasing Assistant,reinout0@adventure-works.com
262,David,M,Barber,Assistant to the Chief Financial Officer,david5@adventure-works.com
263,Jean,E,Trenary,Information Services Manager,jean0@adventure-works.com
264,Stephanie,A,Conroy,Network Manager,stephanie0@adventure-works.com
265,Ashvini,R,Sharma,Network Administrator,ashvini0@adventure-works.com
266,Peter,I,Connelly,Network Administrator,peter1@adventure-works.com
267,Karen,A,Berg,Application Specialist,karen1@adventure-works.com
268,Ramesh,V,Meyyappan,Application Specialist,ramesh0@adventure-works.com
269,Dan,K,Bacon,Application Specialist,dan0@adventure-works.com
270,François,P,Ajenstat,Database Administrator,françois0@adventure-works.com
271,Dan,B,Wilson,Database Administrator,dan1@adventure-works.com
272,Janaina,Barreiro Gambaro,Bueno,Application Specialist,janaina0@adventure-works.com
273,Brian,S,Welcker,Vice President of Sales,brian3@adventure-works.com
274,Stephen,Y,Jiang,North American Sales Manager,stephen0@adventure-works.com
275,Michael,G,Blythe,Sales Representative,michael9@adventure-works.com
276,Linda,C,Mitchell,Sales Representative,linda3@adventure-works.com
277,Jillian,NULL,Carson,Sales Representative,jillian0@adventure-works.com
278,Garrett,R,Vargas,Sales Representative,garrett1@adventure-works.com
279,Tsvi,Michael,Reiter,Sales Representative,tsvi0@adventure-works.com
280,Pamela,O,Ansman-Wolfe,Sales Representative,pamela0@adventure-works.com
281,Shu,K,Ito,Sales Representative,shu0@adventure-works.com
282,José,Edvaldo,Saraiva,Sales Representative,josé1@adventure-works.com
283,David,R,Campbell,Sales Representative,david8@adventure-works.com
284,Tete,A,Mensa-Annan,Sales Representative,tete0@adventure-works.com
285,Syed,E,Abbas,Pacific Sales Manager,syed0@adventure-works.com
286,Lynn,N,Tsoflias,Sales Representative,lynn0@adventure-works.com
287,Amy,E,Alberts,European Sales Manager,amy0@adventure-works.com
288,Rachel,B,Valdez,Sales Representative,rachel0@adventure-works.com
289,Jae,B,Pak,Sales Representative,jae0@adventure-works.com
290,Ranjit,R,Varkey Chudukatil,Sales Representative,ranjit0@adventure-works.com
